model,target,score,params,predictors
glm,MANAGE1_2,0.5549565217391305,"{'C': 0.2, 'solver': 'sag'}",ACT1_2++FWB2_2++FWB2_3++MANAGE1_4++MANAGE1_3
glm,MANAGE1_2,0.5544347826086956,"{'C': 0.5, 'solver': 'sag'}",FS1_6++ACT1_2++FWB2_2++MANAGE1_4++GOALCONF
rf,MANAGE1_3,0.5786086956521739,"{'max_depth': 8, 'n_estimators': 25}",MANAGE1_1++ABSORBSHOCK++FWB1_1++SAVEHABIT++FWB2_2
rf,MANAGE1_3,0.5780869565217391,"{'max_depth': 6, 'n_estimators': 28}",MANAGE1_1++ABSORBSHOCK++FWB1_1++SAVEHABIT++MATHARDSHIP_1
rf,MANAGE1_3,0.5770434782608695,"{'max_depth': 8, 'n_estimators': 28}",MANAGE1_1++ABSORBSHOCK++FWB1_1++FWB2_3++SAVEHABIT
rf,MANAGE1_3,0.5761739130434783,"{'max_depth': 6, 'n_estimators': 28}",MANAGE1_1++ABSORBSHOCK++FWB1_1++FWB2_2
rf,MANAGE1_3,0.5761739130434783,"{'max_depth': 6, 'n_estimators': 25}",MANAGE1_1++ABSORBSHOCK++FWB1_1++FWB2_2++MATHARDSHIP_1
rf,MANAGE1_3,0.5756521739130435,"{'max_depth': 6, 'n_estimators': 25}",MANAGE1_1++ABSORBSHOCK++SAVINGSRANGES++FWB1_1++FWB2_2
rf,MANAGE1_3,0.5756521739130435,"{'max_depth': 6, 'n_estimators': 19}",MANAGE1_1++ABSORBSHOCK++FWB1_1++FWB2_2++FWB1_4
rf,MANAGE1_3,0.5754782608695652,"{'max_depth': 8, 'n_estimators': 28}",MANAGE1_1++ABSORBSHOCK++FWB2_3++SAVEHABIT
rf,MANAGE1_3,0.5751304347826087,"{'max_depth': 8, 'n_estimators': 22}",MANAGE1_1++ABSORBSHOCK++FWB1_1++SAVEHABIT++ENDSMEET
rf,MANAGE1_3,0.5751304347826087,"{'max_depth': 8, 'n_estimators': 22}",MANAGE1_1++SAVINGSRANGES++FWB1_1++SAVEHABIT++FWB1_4
glm,MANAGE1_3,0.5817391304347826,"{'C': 0.6, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++FWB1_1++FWB2_3++SAVEHABIT
glm,MANAGE1_3,0.5817391304347826,"{'C': 0.30000000000000004, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++FWB1_1++SAVEHABIT++FWB1_4
glm,MANAGE1_3,0.581391304347826,"{'C': 0.7000000000000001, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++FWB1_1++SAVEHABIT++FWB2_2
glm,MANAGE1_3,0.5805217391304348,"{'C': 0.1, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++SAVEHABIT++FWB1_4++MATHARDSHIP_1
glm,MANAGE1_3,0.5794782608695652,"{'C': 0.1, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++SAVEHABIT++FWB1_4
glm,MANAGE1_3,0.579304347826087,"{'C': 0.8, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++FWB1_1++SAVEHABIT++MATHARDSHIP_1
glm,MANAGE1_3,0.579304347826087,"{'C': 0.6, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++SAVEHABIT++FWB2_2++FWB1_4
glm,MANAGE1_3,0.5789565217391305,"{'C': 0.7000000000000001, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++SAVEHABIT++ENDSMEET++FWB1_4
glm,MANAGE1_3,0.5787826086956521,"{'C': 0.6, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++ABSORBSHOCK++FWB1_1++SAVEHABIT
glm,MANAGE1_3,0.5786086956521739,"{'C': 0.1, 'solver': 'sag'}",MANAGE1_1++SAVINGSRANGES++FWB1_1++SAVEHABIT
rf,ACT1_2,0.6424347826086957,"{'max_depth': 8, 'n_estimators': 25}",FS1_1++FS1_7++FWB1_4++GOALCONF++SAVEHABIT
rf,ACT1_2,0.6394782608695652,"{'max_depth': 8, 'n_estimators': 28}",FS1_1++FS1_7++FWB1_4++FSscore++GOALCONF
rf,ACT1_2,0.6394782608695652,"{'max_depth': 8, 'n_estimators': 22}",FS1_1++FS1_7++FWB1_4++FS1_4++GOALCONF
rf,ACT1_2,0.6391304347826087,"{'max_depth': 8, 'n_estimators': 25}",FS1_1++FS1_7++FS1_6++SUBKNOWL1++GOALCONF
rf,ACT1_2,0.6386086956521739,"{'max_depth': 8, 'n_estimators': 28}",FS1_1++FS1_7++FWB1_4++SUBKNOWL1++SAVEHABIT
rf,ACT1_2,0.6379130434782608,"{'max_depth': 8, 'n_estimators': 28}",FS1_1++FS1_7++FWB1_2++FS1_4++GOALCONF
rf,ACT1_2,0.6377391304347826,"{'max_depth': 6, 'n_estimators': 28}",FS1_1++FS1_7++FWB1_4++FWB1_2++GOALCONF
rf,ACT1_2,0.6375652173913043,"{'max_depth': 8, 'n_estimators': 13}",FS1_1++FS1_7++FS1_6++GOALCONF++SAVEHABIT
rf,ACT1_2,0.6375652173913043,"{'max_depth': 8, 'n_estimators': 25}",FS1_1++FS1_7++FSscore++FWB1_2++GOALCONF
rf,ACT1_2,0.6373913043478261,"{'max_depth': 8, 'n_estimators': 25}",FS1_1++FS1_7++FS1_6++FWB1_4++GOALCONF
glm,ACT1_2,0.6481739130434783,"{'C': 0.1, 'solver': 'sag'}",FS1_1++FWB1_4++GOALCONF++SUBKNOWL1++SAVEHABIT
glm,ACT1_2,0.6474782608695652,"{'C': 0.4, 'solver': 'sag'}",FSscore++FS1_1++FWB1_4++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6464347826086957,"{'C': 0.1, 'solver': 'sag'}",FS1_1++FS1_7++FWB1_4++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6457391304347826,"{'C': 0.5, 'solver': 'sag'}",FSscore++FS1_1++FS1_7++FWB1_4++GOALCONF
glm,ACT1_2,0.6455652173913043,"{'C': 0.1, 'solver': 'sag'}",FS1_1++FS1_6++FWB1_4++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6452173913043479,"{'C': 0.30000000000000004, 'solver': 'sag'}",FSscore++FS1_6++FWB1_4++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6450434782608696,"{'C': 0.5, 'solver': 'sag'}",FS1_1++FS1_7++FS1_6++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6445217391304348,"{'C': 0.30000000000000004, 'solver': 'sag'}",FS1_1++FS1_7++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6443478260869565,"{'C': 0.2, 'solver': 'sag'}",FSscore++FS1_1++FS1_6++GOALCONF++SAVEHABIT
glm,ACT1_2,0.6443478260869565,"{'C': 0.30000000000000004, 'solver': 'sag'}",FS1_1++FS1_6++GOALCONF++SUBKNOWL1++SAVEHABIT
rf,EMPLOY,0.7779130434782608,"{'max_depth': 8, 'n_estimators': 19}",EMPLOY1_2++RETIRE++agecat++SOCSEC2++SOCSEC3
rf,EMPLOY,0.7770434782608696,"{'max_depth': 8, 'n_estimators': 16}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC2++SOCSEC3
rf,EMPLOY,0.7765217391304348,"{'max_depth': 6, 'n_estimators': 25}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++BENEFITS_5
rf,EMPLOY,0.7759999999999999,"{'max_depth': 8, 'n_estimators': 25}",EMPLOY1_2++RETIRE++agecat++SOCSEC3++BENEFITS_5
rf,EMPLOY,0.7758260869565218,"{'max_depth': 8, 'n_estimators': 13}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++SOCSEC1
rf,EMPLOY,0.7754782608695652,"{'max_depth': 8, 'n_estimators': 28}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3
rf,EMPLOY,0.7753043478260869,"{'max_depth': 8, 'n_estimators': 22}",EMPLOY1_2++RETIRE++agecat++SOCSEC2++AUTOMATED_1
rf,EMPLOY,0.7751304347826087,"{'max_depth': 8, 'n_estimators': 28}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC2++AUTOMATED_1
rf,EMPLOY,0.7749565217391304,"{'max_depth': 8, 'n_estimators': 19}",EMPLOY1_2++EMPLOY1_8++agecat++generation++BENEFITS_5
rf,EMPLOY,0.7746086956521739,"{'max_depth': 8, 'n_estimators': 19}",EMPLOY1_2++RETIRE++agecat++SOCSEC3
glm,EMPLOY,0.7801739130434783,"{'C': 0.5, 'solver': 'sag'}",EMPLOY1_2++RETIRE++agecat++SOCSEC3++SOCSEC2
